Name,PublicOrPrivate,Area/Prefecture,SchoolClass,NumStudent,NumBorrower,NumNewBorrowerH27,NumExitLendingH22toH26,NumPostponeSchoolH27_ExitLendingH22toH26,NumPostponeGeneralH27_ExitLendingH22toH26,NumReductionH27_ExitLendingH22toH26,NumPaidUpH27_ExitLendingH22toH26,NumDelayedOver1DayH27_ExitLendingH22toH26,RatioDelayedOver1DayH27_ExitLendingH22toH26,NumDelayedOver3MonthsH27_ExitLendingH22toH26,RatioDelayedOver3MonthsH27_ExitLendingH22toH26,RatioDelayedOver3MonthsH23_ExitLendingH22,RatioDelayedOver3MonthsH24_ExitLendingH23,RatioDelayedOver3MonthsH25_ExitLendingH24,RatioDelayedOver3MonthsH26_ExitLendingH25,RatioDelayedOver3MonthsH27_ExitLendingH26,NumExitLendingH26,NumDelayedOver3MonthsH27_ExitLendingH26,RatioDelayedOver3MonthsH25_ExitLendingH20toH24,RatioDelayedOver3MonthsH26_ExitLendingH21toH25,NumExitLendingH21toH25,NumDelayedOver3MonthsH26_ExitLendingH21toH25
旭川工業高等専門学校,国立,北海道,高等専門学校,834,92,27,151,54,0,0,9,4,0.026,1,0.007,0,0,0,0,0,32,0,0.014,0.014,144,2
釧路工業高等専門学校,国立,北海道,高等専門学校,884,79,21,187,40,1,0,10,11,0.059,1,0.005,0,0.029,0,0,0,38,0,0.021,0.01,192,2
苫小牧工業高等専門学校,国立,北海道,高等専門学校,1026,102,31,223,33,3,2,10,8,0.036,3,0.013,0,0,0,0.045,0,43,0,0.013,0.018,227,4
函館工業高等専門学校,国立,北海道,高等専門学校,988,113,18,203,31,3,1,5,10,0.049,2,0.01,0.021,0,0,0,0,32,0,0.014,0.009,222,2
一関工業高等専門学校,国立,東北,高等専門学校,850,164,40,284,44,5,0,12,4,0.014,1,0.004,0,0,0.017,0,0,55,0,0.003,0,292,0
秋田工業高等専門学校,国立,東北,高等専門学校,862,69,16,135,18,5,1,0,6,0.044,0,0,0.032,0,0,0,0,23,0,0.007,0,141,0
仙台高等専門学校,国立,東北,高等専門学校,1581,147,30,407,91,11,4,16,12,0.029,3,0.007,0,0,0.01,0.012,0.03,66,2,0.016,0.007,407,3
鶴岡工業高等専門学校,国立,東北,高等専門学校,848,102,25,174,24,0,0,12,7,0.04,0,0,0,0.037,0,0,0,38,0,0.012,0,167,0
八戸工業高等専門学校,国立,東北,高等専門学校,898,214,46,364,88,2,1,14,11,0.03,2,0.005,0.014,0,0,0,0,58,0,0.011,0.005,371,2
福島工業高等専門学校,国立,東北,高等専門学校,1090,41,8,111,21,1,1,7,2,0.018,0,0,0,0.08,0,0,0,21,0,0.009,0,114,0
茨城工業高等専門学校,国立,関東甲信越,高等専門学校,1113,33,6,80,31,1,0,5,2,0.025,1,0.013,0,0,0,0,0,18,0,0,0,80,0
群馬工業高等専門学校,国立,関東甲信越,高等専門学校,1091,29,10,162,70,1,1,8,3,0.019,0,0,0,0,0,0,0,19,0,0.017,0,174,0
小山工業高等専門学校,国立,関東甲信越,高等専門学校,1062,42,9,106,24,2,0,3,1,0.009,0,0,0.043,0.037,0,0,0,18,0,0,0.019,107,2
長岡工業高等専門学校,国立,関東甲信越,高等専門学校,1096,98,30,217,92,0,0,10,1,0.005,1,0.005,0,0,0,0,0,42,0,0,0,204,0
長野工業高等専門学校,国立,関東甲信越,高等専門学校,1064,76,16,148,39,1,0,10,4,0.027,1,0.007,0,0.036,0,0,0,25,0,0.014,0,146,0
木更津工業高等専門学校,国立,関東甲信越,高等専門学校,1118,64,21,122,40,0,1,3,0,0,0,0,0.043,0,0,0,0,25,0,0,0,122,0
東京工業高等専門学校,国立,東京,高等専門学校,1071,46,10,105,31,0,1,8,2,0.019,1,0.01,0,0,0,0,0.067,15,1,0.008,0.008,124,1
岐阜工業高等専門学校,国立,東海北陸,高等専門学校,1101,46,9,130,25,0,0,6,2,0.015,0,0,0,0,0,0,0,22,0,0.008,0,135,0
沼津工業高等専門学校,国立,東海北陸,高等専門学校,1098,47,18,119,43,1,0,7,3,0.025,1,0.008,0,0,0,0,0,25,0,0,0.008,120,1
石川工業高等専門学校,国立,東海北陸,高等専門学校,1105,59,15,103,22,0,1,8,2,0.019,0,0,0,0,0,0,0,14,0,0,0,116,0
鳥羽商船高等専門学校,国立,東海北陸,高等専門学校,673,,,40,,,,,,,,,,,,,,,,,,,
富山高等専門学校,国立,東海北陸,高等専門学校,1403,49,19,107,29,0,0,9,2,0.019,1,0.009,0,0.048,0.053,0,0,21,0,0.01,0,105,0
福井工業高等専門学校,国立,東海北陸,高等専門学校,1061,45,9,85,29,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,88,0
豊田工業高等専門学校,国立,東海北陸,高等専門学校,1171,64,12,125,27,0,0,5,7,0.056,4,0.032,0,0,0,0,0.04,25,1,0,0,118,0
鈴鹿工業高等専門学校,国立,東海北陸,高等専門学校,1115,41,13,110,24,0,0,4,0,0,0,0,0,0,0,0,0,13,0,0,0,118,0
奈良工業高等専門学校,国立,近畿,高等専門学校,1063,59,17,145,50,0,0,6,3,0.021,1,0.007,0,0.033,0,0,0,22,0,0.007,0.007,145,1
舞鶴工業高等専門学校,国立,近畿,高等専門学校,855,86,27,219,49,2,0,12,6,0.027,1,0.005,0.051,0,0,0.024,0.025,40,1,0.009,0.004,224,1
明石工業高等専門学校,国立,近畿,高等専門学校,919,47,16,110,45,1,2,8,1,0.009,0,0,0,0,0,0,0,25,0,0.02,0.019,107,2
和歌山工業高等専門学校,国立,近畿,高等専門学校,840,50,14,98,28,0,0,8,2,0.02,0,0,0,0,0,0,0,17,0,0,0,103,0
宇部工業高等専門学校,国立,中国,高等専門学校,1074,71,20,151,27,0,0,2,7,0.046,0,0,0,0,0,0,0,25,0,0,0,161,0
呉工業高等専門学校,国立,中国,高等専門学校,869,77,18,139,29,0,0,4,2,0.014,0,0,0,0,0,0,0,18,0,0,0.007,145,1
広島商船高等専門学校,国立,中国,高等専門学校,735,,,37,,,,,,,,,,,,,,,,,,,
松江工業高等専門学校,国立,中国,高等専門学校,1061,106,28,180,32,3,1,10,3,0.017,3,0.017,0,0,0,0,0,25,0,0.013,0.019,213,4
大島商船高等専門学校,国立,中国,高等専門学校,692,64,17,81,10,0,0,4,7,0.086,1,0.012,0,0,0,0,0,17,0,0.013,0,79,0
津山工業高等専門学校,国立,中国,高等専門学校,889,101,17,186,28,1,0,7,7,0.038,2,0.011,0.033,0,0.028,0,0,47,0,0.017,0.006,177,1
徳山工業高等専門学校,国立,中国,高等専門学校,645,41,14,113,15,0,2,6,4,0.035,0,0,0,0,0,0,0,17,0,0,0,118,0
米子工業高等専門学校,国立,中国,高等専門学校,1051,126,35,230,61,2,0,10,9,0.039,1,0.004,0,0,0,0,0,43,0,0,0.004,228,1
阿南工業高等専門学校,国立,四国,高等専門学校,815,59,17,110,16,1,0,2,2,0.018,0,0,0,0,0,0,0,22,0,0.025,0.008,122,1
弓削商船高等専門学校,国立,四国,高等専門学校,626,34,9,80,9,0,0,1,1,0.013,0,0,0,0,0,0,0,10,0,0.02,0.012,83,1
香川高等専門学校,国立,四国,高等専門学校,1528,50,13,149,35,0,0,12,1,0.007,1,0.007,0,0,0,0,0,25,0,0.007,0,147,0
高知工業高等専門学校,国立,四国,高等専門学校,844,165,34,260,52,4,0,9,13,0.05,7,0.027,0,0,0,0.016,0,45,0,0.008,0.011,263,3
新居浜工業高等専門学校,国立,四国,高等専門学校,1111,123,39,198,42,1,0,10,1,0.005,0,0,0,0,0,0,0,33,0,0.006,0.01,200,2
沖縄工業高等専門学校,国立,九州,高等専門学校,858,270,82,463,112,12,1,19,13,0.028,3,0.006,0,0,0,0,0,85,0,0.005,0.009,443,4
久留米工業高等専門学校,国立,九州,高等専門学校,1099,77,19,224,66,2,0,9,5,0.022,0,0,0,0,0,0,0,51,0,0,0,203,0
熊本高等専門学校,国立,九州,高等専門学校,1394,199,44,439,81,1,2,20,12,0.027,3,0.007,0,0,0,0,0,64,0,0.007,0.002,461,1
佐世保工業高等専門学校,国立,九州,高等専門学校,889,178,37,343,66,1,0,13,6,0.017,0,0,0.014,0,0,0,0,73,0,0,0,311,0
鹿児島工業高等専門学校,国立,九州,高等専門学校,1068,212,72,376,75,1,0,15,15,0.04,2,0.005,0,0,0,0.015,0,83,0,0.008,0.011,349,4
大分工業高等専門学校,国立,九州,高等専門学校,872,98,24,166,32,0,0,11,2,0.012,0,0,0,0,0,0.026,0,34,0,0.011,0.006,178,1
